Disaster	ID	Text	
Columbia Floods	9	)n-Event's history(http://bit.ly/2BrthdF))n-@Federation's assistance report(http://bit.ly/2n7Qcqa))n-Follow @reliefweb for updates	
The Philippines Mudslides	10	)n-@RedCrescentTR's assistance report(http://bit.ly/2FeTT3M))n-Follow @reliefweb for updates (http://bit.ly/2E7AJNV)	
Kadovar Island Volcano	11	)n-Event's history(http://bit.ly/2mZOV3J))n-@ADRAIntl's assessment report(http://bit.ly/2DXpKGI))n-Follow @reliefweb for updates	
Mongolia Dzud of 2016	12	)n-Event's history(http://bit.ly/2GtNGCv))n-@Federation's assessment report(http://bit.ly/2FfWpKT))n-Follow @reliefweb for updates	
			
			
			
			
			
			
			
