Disaster,Charity,Tweet
1,1,has identified 26 charities aiding the recovery. Read about them here: http://bit.ly/2ggTc2O
2,1,has identified 20 charities aiding the recovery. Read about them here: http://bit.ly/2wX7Thg
3,1,has identified 17 charities aiding the recovery. Read about them here: http://bit.ly/2wKJ8S8
4,1,has identified 4 charities aiding the recovery. Read about them here: http://bit.ly/2ylgbyz
5,1,has identified 6 charities aiding the recovery. Read about them here: http://bit.ly/2ikeQAw
6,1,has identified 10 charities aiding the recovery. Read about them here: http://bit.ly/2foxfPk
1,2,"has raised over $5,013,913 for local charities. Consider donating here: http://bit.ly/2xoSKUu"
2,2,"has raised over $2,810,366 to fund long term relief for the region. Consider donating here: http://bit.ly/2wN49zE"
3,2,"has raised over $10,627,430 to fund long term relief for the region. Consider donating here: http://bit.ly/2wGxEiR"
4,2,"has raised over $69,474 to help deliver hygiene items to folks who need them. Consider donating here: http://bit.ly/2mr4cKv"
4,3,is crowd-fundraising for local recoveries. Check it out here: http://bit.ly/2i16Bg8
5,3,is crowd-fundraising for local recoveries. Check it out here: http://bit.ly/2zPYpD3
6,3,is crowd-fundraising for local recoveries. Check it out here: http://bit.ly/2wSH3Zi
3,4,is raising money to help the region recover. Checkout the Puerto Rico Hurricane Fund here: http://bit.ly/2xyHYx9
6,4,is raising money to help the region recover. Checkout the Mexico Earthquake Relief Fund here: http://bit.ly/2xyHYx9
