Disaster,ID,Singular/Ongoing?,Date of Disaster,Landfall Response,Hashtag to use,,,,,,,,,,,,,
Hurricane Harvey,1,Singular,8/25/17,1,#HurricaneHarvey,,,,,,,,,,,,,
Hurricane Irma,2,Singular,9/10/17,1,#HurricaneIrma,,,,,,,,,,,,,
Hurricane Maria,3,Singular,9/18/17,1,#HurricaneMaria,,,,,,,,,,,,,
The California Wildfires,4,Ongoing,4/20/17,2,#CaliforniaWildfires,,,,,,,,,,,,,
The Sierra Leone Mudslides,5,Singular,8/21/17,1,#SierraLeoneMudslides,,,,,,,,,,,,,
The Mexico City Earthquake,6,Singular,9/19/17,1,#MexicoCityEarthquake,,,,,,,,,,,,,
The Iran/Iraq Earthquake,7,Singular,11/12/17,1,#IranIraqEarthquake,,,,,,,,,,,,,
Flint Water Crisis,8,Singular,4/25/14,2,#FlintWaterCrisis,,,,,,,,,,,,,
Columbia Floods,9,Singular,4/3/17,1,#ColumbiaFloods,,,,,,,,,,,,,
The Philippines Mudslides,10,Singular,12/28/17,1,#PhilippinesMudslides,,,,,,,,,,,,,
